;speaker
0;Carl Yeung - Chief Financial Officer
21;Michael Tao Song - Chairman and Chief Executive Officer
35;Michael S. Ptasznik - Chief Financial Officer
44;Thomas A. Kloet - Chief Executive Officer
138;Jackie Shi - Director, IR
140;Shuwen Kang - CEO
147;Zhaoyang Qiao - CFO
174;Pablo Firvida - Head, IR
198;Seth Katzenstein - Chief Executive Officer, President
205;Richard Allorto - Chief Financial Officer
265;Phillip Damaska - Executive Vice President, Chief Financial Officer
267;James Bolch - President, Chief Executive Officer
424;Edward W. Stone - Chief Financial Officer
431;Vincent A. Wasik - Chairman of the Board & Chief Executive Officer
481;Joseph Chalhoub  President, Chief Executive Officer
485;Gregory Ray  Chief Financial Officer, Vice President of Business Management
594;Muhtar Kent - President and Chief Executive Officer
616;Gary P. Fayard - Chief Financial Officer
690;Sandy Douglas - President, North America Group
716;Benny Goh - President
732;Kok Ho Leong - CFO
843;Kevin Theiss - IR
844;Clarence Gooden - Chief Sales and Marketing Officer
850;Oscar Munoz - Chief Financial Officer
856;Michael Ward - Chairman, President and Chief Executive Officer
893;Tony Ingram - Chief Operating Officer
1022;Kevin Rauckman - Chief Financial Officer and Treasurer
1037;Dr. Min Kao - Chairman and CEO
1069;Cliff Pemble - Vice President of Engineering
1176;John F. Glick - President, Chief Executive Officer, Director
1229;Christopher L. Boone - Chief Financial Officer, Vice President, Treasurer
1245;Debbra L. Schoneman - Chief Financial Officer
1247;Andrew S. Duff - Chairman and Chief Executive Officer
1277;Bo Tan - Chief Financial Officer
1292;Jing Lou - Chief Executive Officer
1340;Edward Bastian - President and Chief Financial Officer
1362;Richard Anderson - Chief Executive Officer
1462;James Dimon - President & CEO
1463;Michael Cavanagh - CFO
1637;Joseph E. Dondanville - Senior Vice President, Chief Financial Officer
1639;Michael J. Stone - President, RLI Insurance Company
1672;Jonathan Michael - President and Chief Executive Officer
1686;John Robison - Treasurer
1708;Richard N. Snyder - CEO and President
1710;Jay C. Peterson - Chief Financial Officer
1713;Ronald E. Logue - Chairman and Chief Executive Officer
1732;Edward J. Resch - Chief Financial Officer, Executive Vice President
1780;Kelly McDonald - Senior Vice President, Investor Relations
1869;Scott T. Ford, President and CFO 
1875; Kevin T. Beebe, Group President of Operations 
1917; Sharilyn Gasaway, Alltel Executive Vice President and Chief Financial Officer
1986; Jeffrey R. Gardner, President and CEO, Wireline Operators 
1996; Tony Thomas, Vice President Investor Relations 
2013;John Williams - President, Chief Operating Officer
2018;Mark W. Brugger J.D. - Chief Executive Officer
2031;Sean M. Mahoney - Chief Financial Officer
2168;Robert Watson - President & Chief Executive Officer
